entity,sim_t,x,y,z,qx,qy,qz,qw
arm_1,134.927500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,134.935000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,134.943500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,134.952500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,134.961500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,134.970000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,134.978500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,134.984500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,134.993000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.001500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.010000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.018500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.027500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.036500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.045000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.053500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.062500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.071500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.080500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.087500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.091000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.099500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.108000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.116500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.125000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.133500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.141500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.150500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.159500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.168000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.177000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.186000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.195000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.203500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.212500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.218500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.223000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.231000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.238500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.247000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,135.255500,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
