entity,sim_t,x,y,z,qx,qy,qz,qw
arm_1,92.617000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,92.633000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,92.650000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,92.667000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,92.685000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,92.702000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,92.719000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,92.737000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,92.755000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,92.772000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,92.788000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,92.803000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,92.818000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,92.835000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,92.852000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,92.868000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,92.884000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,92.899000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,92.915000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,92.932000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,92.949000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,92.966000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,92.983000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.000000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.017000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.034000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.050000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.063000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.077000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.091000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.106000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.121000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.137000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.153000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.169000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.186000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.203000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.220000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.237000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.254000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.271000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.288000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.305000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.323000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.341000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.359000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.376000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.394000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.412000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.430000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.447000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.465000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.477000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.491000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.506000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.521000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.536000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.552000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.568000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.585000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.601000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.617000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.634000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.651000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.667000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.683000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.699000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.714000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.731000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.747000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.764000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.781000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.798000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.815000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.831000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.848000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.865000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.882000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.899000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.916000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.932000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.948000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.964000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.980000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,93.995000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.010000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.025000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.041000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.057000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.073000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.090000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.107000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.124000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.141000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.157000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.173000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.190000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.206000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.222000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.238000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.255000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.271000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.287000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.302000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.317000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.332000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.348000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.364000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.379000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.396000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.411000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
arm_1,94.428000,0.000000,-0.350000,0.600000,0.000000,0.000000,0.707107,0.707107
