 11:27:04 up 23:20,  1 user,  load average: 0.22, 0.30, 0.24
 11:28:48 up 23:22,  1 user,  load average: 0.71, 0.58, 0.35
 11:31:34 up 23:25,  1 user,  load average: 2.89, 2.39, 1.13
 11:41:57 up 23:35,  1 user,  load average: 2.11, 3.32, 2.37
 11:43:41 up 23:37,  1 user,  load average: 1.58, 3.01, 2.37
 11:46:20 up 23:40,  1 user,  load average: 1.78, 3.26, 2.62
 12:03:49 up 23:57,  1 user,  load average: 0.79, 1.90, 2.19
 12:06:40 up 1 day, 0 min,  1 user,  load average: 0.17, 1.12, 1.83
 12:09:14 up 1 day, 3 min,  1 user,  load average: 1.20, 1.71, 1.98
 12:12:53 up 1 day, 6 min,  1 user,  load average: 0.80, 1.58, 1.90
 12:14:58 up 1 day, 8 min,  1 user,  load average: 0.16, 1.09, 1.68
 12:21:27 up 1 day, 15 min,  1 user,  load average: 0.39, 1.29, 1.61
 12:31:01 up 1 day, 24 min,  1 user,  load average: 1.20, 2.80, 2.45
 12:32:48 up 1 day, 26 min,  1 user,  load average: 0.56, 2.16, 2.26
 12:36:35 up 1 day, 30 min,  1 user,  load average: 0.05, 1.11, 1.81
 13:15:26 up 1 day,  1:09,  1 user,  load average: 2.40, 2.39, 1.86
 13:17:20 up 1 day,  1:11,  1 user,  load average: 2.34, 2.69, 2.05
 13:20:13 up 1 day,  1:14,  1 user,  load average: 1.69, 2.88, 2.27
 13:32:43 up 1 day,  1:26,  1 user,  load average: 0.48, 1.23, 1.73
 13:35:31 up 1 day,  1:29,  1 user,  load average: 0.06, 0.74, 1.45
 13:38:10 up 1 day,  1:32,  1 user,  load average: 2.40, 2.14, 1.91
 13:46:54 up 1 day,  1:40,  1 user,  load average: 0.87, 2.54, 2.41
 13:48:55 up 1 day,  1:42,  1 user,  load average: 1.15, 2.20, 2.31
 14:00:01 up 1 day,  1:53,  1 user,  load average: 1.86, 5.33, 4.45
 14:01:48 up 1 day,  1:55,  1 user,  load average: 1.43, 4.47, 4.25
 14:05:44 up 1 day,  1:59,  1 user,  load average: 0.24, 2.31, 3.42
 14:07:38 up 1 day,  2:01,  1 user,  load average: 0.65, 1.91, 3.15
 14:09:24 up 1 day,  2:03,  1 user,  load average: 1.52, 2.14, 3.12
